,MolLogP,MolWt,NumRotatableBonds,AromaticProportion,logS,logS Pred
0,2.5954000000000006,167.85,0.0,0.0,-2.18,-2.776288370851431
1,2.376500000000001,133.405,0.0,0.0,-2.0,-2.3866105398666275
2,2.5938,167.85,1.0,0.0,-1.74,-2.7719010830803446
3,2.0289,133.405,1.0,0.0,-1.48,-2.125582564751033
4,2.9189,187.37500000000003,1.0,0.0,-3.04,-3.1418902020475987
5,1.81,98.96,0.0,0.0,-1.29,-1.7391052437923697
6,1.9352,96.944,0.0,0.0,-1.64,-1.81866647719804
7,1.4054,118.176,4.0,0.0,-0.43,-1.553008323408738
8,4.3002,215.894,0.0,0.6,-4.57,-4.611753629715841
9,2.5654000000000003,132.20599999999996,0.0,0.6,-4.37,-2.772710284158641
10,4.3002,215.894,0.0,0.6,-4.63,-4.611753629715841
11,3.6468000000000007,181.449,0.0,0.6666666666666666,-4.0,-3.928002391770987
12,2.611860000000001,120.195,0.0,0.6666666666666666,-3.2,-2.7561184543270536
13,4.7366,393.698,0.0,0.6,-6.98,-6.108823581941516
14,4.3002,215.894,0.0,0.6,-5.56,-4.611753629715841
15,2.9202800000000018,134.22199999999998,0.0,0.6,-4.59,-3.04924171312393
16,3.974100000000001,314.802,0.0,0.6666666666666666,-4.5,-5.050804855940244
17,3.6468000000000007,181.449,0.0,0.6666666666666666,-3.59,-3.928002391770987
18,2.611860000000001,120.195,0.0,0.6666666666666666,-3.31,-2.7561184543270536
19,1.0978,110.11199999999998,0.0,0.75,0.62,-1.6018087410220399
20,3.2116000000000007,235.906,0.0,0.75,-3.5,-3.999838861039412
21,1.7762,187.862,1.0,0.0,-1.68,-2.2975222150501193
22,2.9934000000000003,147.00399999999996,0.0,0.75,-3.05,-3.2513038849265743
23,1.464,98.96,1.0,0.0,-1.06,-1.4792640464217217
24,1.8525,112.987,1.0,0.0,-1.6,-1.8599964557548967
25,2.6495999999999995,170.92000000000002,1.0,0.0,-2.74,-2.833549710987178
26,1.0594,118.176,5.0,0.0,-0.77,-1.2931671260380897
27,2.811400000000001,134.22199999999998,2.0,0.6,-3.28,-2.962080467528094
28,1.503,168.10799999999995,2.0,0.5,-3.1,-2.1728993897032884
29,0.4051,58.08,0.0,0.0,-0.59,-0.42726211707872386
30,3.974100000000001,314.802,0.0,0.6666666666666666,-5.6,-5.050804855940244
31,3.6468000000000007,181.449,0.0,0.6666666666666666,-4.48,-3.928002391770987
32,2.611860000000001,120.19499999999998,0.0,0.6666666666666666,-3.4,-2.7561184543270536
33,1.4112,213.105,3.0,0.4,-2.89,-2.356238401088929
34,1.0978,110.11199999999998,0.0,0.75,0.81,-1.6018087410220399
35,1.3584,54.09199999999999,1.0,0.0,-1.87,-1.1048407397508984
36,3.2116000000000007,235.906,0.0,0.75,-3.54,-3.999838861039412
37,2.993400000000001,147.004,0.0,0.75,-3.04,-3.251303884926575
38,1.8541,112.987,2.0,0.0,-1.62,-1.8579827234737025
39,0.4903,132.232,2.0,0.0,-1.46,-0.9734059638838857
40,1.9648,114.094,0.0,0.75,-2.0,-2.271172218416113
41,3.456640000000002,156.22799999999998,0.0,0.8333333333333334,-4.29,-3.691041018947638
42,1.503,168.10799999999995,2.0,0.5,-2.29,-2.1728993897032884
43,1.0978,110.11199999999998,0.0,0.75,-0.17,-1.6018087410220399
44,1.8926,80.12999999999998,0.0,0.0,-2.06,-1.6761084205115475
45,3.2116000000000007,235.906,0.0,0.75,-4.07,-3.999838861039412
46,2.993400000000001,147.00400000000002,0.0,0.75,-3.27,-3.2513038849265756
47,2.811400000000001,134.22199999999998,2.0,0.6,-3.75,-2.962080467528094
48,1.9648,114.094,0.0,0.75,-1.97,-2.271172218416113
49,3.456640000000002,156.228,0.0,0.8333333333333334,-4.14,-3.691041018947638
50,1.503,168.10799999999995,2.0,0.5,-3.39,-2.1728993897032884
51,1.7485,68.119,2.0,0.0,-2.09,-1.483559416802879
52,3.456640000000002,156.228,0.0,0.8333333333333334,-4.678999999999999,-3.691041018947638
53,2.1386000000000003,82.14599999999999,3.0,0.0,-2.68,-1.8622780938548598
54,2.7830000000000004,180.21,0.0,1.0,-2.68,-3.42016888515389
55,2.7441000000000013,154.253,0.0,0.0,-1.74,-2.7968542748047187
56,4.269300000000004,302.4580000000001,0.0,0.0,-3.999,-4.906194736478719
57,2.970200000000001,194.237,0.0,0.9333333333333332,-4.22,-3.6233788950493175
58,2.0373,137.01999999999998,1.0,0.0,-2.43,-2.155669503253186
59,2.1814,137.01999999999998,2.0,0.0,-2.37,-2.2593531638812183
60,3.351700000000002,179.101,5.0,0.0,-4.43,-3.3955091950371616
61,2.9616000000000016,165.074,4.0,0.0,-3.81,-3.016790517985181
62,3.6023000000000014,207.07,0.0,0.9090909090909092,-4.35,-4.166660171591763
63,3.741800000000003,193.128,6.0,0.0,-5.06,-3.7742278720891433
64,2.571500000000001,151.047,3.0,0.0,-3.08,-2.6380718409331996
65,1.7913,122.993,1.0,0.0,-1.73,-1.8806344868292375
66,0.7787999999999999,74.12299999999999,2.0,0.0,0.0,-0.8039199373552015
67,1.5824,56.108,1.0,0.0,-1.94,-1.2842937491796274
68,1.0295999999999998,54.09199999999999,0.0,0.0,-1.24,-0.8641584231906967
69,1.6201,143.411,1.0,0.0,-1.32,-1.8883931307359205
70,1.8812,92.569,1.0,0.0,-2.0,-1.7465404189389875
71,2.0253,92.569,2.0,0.0,-2.03,-1.8502240795670195
72,3.1956000000000016,134.65,5.0,0.0,-4.0,-2.9863801107229624
73,2.805500000000001,120.623,4.0,0.0,-3.12,-2.6076614336709816
74,3.4932000000000016,162.61899999999997,0.0,0.9090909090909092,-3.93,-3.792392683535344
75,2.415400000000001,106.596,3.0,0.0,-2.73,-2.2289427566190008
76,1.6352,78.542,1.0,0.0,-1.47,-1.471505402515039
77,3.119400000000002,158.285,8.0,0.0,-3.63,-3.076231999667087
78,3.923000000000004,140.26999999999998,7.0,0.0,-5.51,-3.556605811491514
79,3.899600000000004,186.339,10.0,0.0,-4.8,-3.83366935377105
80,3.4022000000000023,156.22799999999998,1.0,0.8333333333333334,-4.17,-3.6474603961497207
81,1.9491,116.204,5.0,0.0,-1.81,-1.9400759685111435
82,2.752700000000001,98.189,4.0,0.0,-3.73,-2.4204497803355696
83,2.1999000000000004,96.173,3.0,0.0,-3.01,-2.000314454346639
84,5.460000000000006,242.44699999999992,14.0,0.0,-7.0,-5.3485440619789735
85,1.559,102.177,4.0,0.0,-1.24,-1.561357291459163
86,2.3626000000000005,84.16199999999999,3.0,0.0,-3.23,-2.0417311032835888
87,1.3334,100.161,3.0,0.0,-0.59,-1.3839180143116283
88,1.8098,82.14599999999999,2.0,0.0,-2.36,-1.621595777294658
89,2.2215,184.02,2.0,0.0,-2.96,-2.5992623968914703
90,3.3918000000000026,226.101,5.0,0.0,-4.81,-3.735418428047414
91,3.4444000000000017,254.07,0.0,0.9090909090909092,-4.55,-4.359705658664984
92,1.8314,169.993,1.0,0.0,-2.29,-2.22054371983949
93,2.5067000000000004,96.17300000000002,0.0,0.0,-3.27,-2.2374806170183974
94,3.566220000000002,180.25000000000003,0.0,0.8571428571428571,-5.22,-3.9409234159025277
95,3.148220000000002,142.201,0.0,0.9090909090909092,-3.7,-3.4017647043873667
96,4.301420000000003,192.261,0.0,0.9333333333333332,-5.85,-4.597752659166456
97,-0.9264,126.115,0.0,0.6666666666666666,-0.807,-0.17073098348344617
98,2.5454000000000008,144.17299999999997,0.0,0.9090909090909092,-2.22,-2.967645111583076
99,2.4220000000000006,143.189,0.0,0.9090909090909092,-1.92,-2.869621197878073
100,2.748000000000001,173.171,1.0,0.7692307692307693,-3.54,-3.2469021616907896
101,0.6731,89.09399999999998,2.0,0.0,-0.8,-0.8243160801075071
102,2.7293000000000016,144.258,7.0,0.0,-3.01,-2.697513322615106
103,3.5329000000000024,126.243,6.0,0.0,-5.05,-3.177887134439532
104,2.980100000000002,124.227,5.0,0.0,-4.24,-2.757751808450601
105,6.240200000000008,270.50099999999986,16.0,0.0,-8.4,-6.105981416082935
106,2.3392000000000013,130.23100000000002,6.0,0.0,-2.39,-2.318794645563125
107,3.142800000000002,112.216,5.0,0.0,-4.44,-2.799168457387551
108,2.5900000000000007,110.2,4.0,0.0,-3.66,-2.3790331313986197
109,5.069900000000006,228.41999999999996,13.0,0.0,-6.35,-4.969825384926992
110,1.1689,88.14999999999999,3.0,0.0,-0.6,-1.1826386144071823
111,1.9725,70.135,2.0,0.0,-2.68,-1.663012426231608
112,1.4197,68.11899999999999,1.0,0.0,-1.64,-1.2428771002426773
113,1.7399,122.16699999999996,1.0,0.6666666666666666,-0.92,-2.1191675000749446
114,0.3887,60.096,1.0,0.0,0.62,-0.42520126030322114
115,4.679800000000005,214.39299999999997,12.0,0.0,-5.84,-4.59110670787501
116,9.8876,498.66200000000026,1.0,0.5454545454545454,-11.6,-10.595909619651058
117,8.580799999999998,429.77200000000016,1.0,0.6,-9.16,-9.195066960377444
118,7.274000000000001,360.88200000000006,1.0,0.6666666666666666,-8.01,-7.7993535600859705
119,8.580799999999998,429.77200000000016,1.0,0.6,-9.15,-9.195066960377444
120,7.274000000000001,360.88200000000006,1.0,0.6666666666666666,-8.6,-7.7993535600859705
121,5.967200000000002,291.992,1.0,0.75,-7.28,-6.410692890894937
122,7.9274,395.3270000000001,1.0,0.631578947368421,-7.92,-8.496467867484292
123,7.9274,395.3270000000001,1.0,0.631578947368421,-8.94,-8.496467867484292
124,7.274000000000001,360.88200000000006,1.0,0.6666666666666666,-7.68,-7.7993535600859705
125,6.620600000000001,326.437,1.0,0.7058823529411765,-7.21,-7.103986059152152
126,6.620600000000001,326.437,1.0,0.7058823529411765,-7.43,-7.103986059152152
127,7.274000000000001,360.88200000000006,1.0,0.6666666666666666,-7.42,-7.7993535600859705
128,5.967200000000002,291.9920000000001,1.0,0.75,-6.47,-6.410692890894939
129,2.688500000000001,100.20499999999998,0.0,0.0,-4.36,-2.3989364885605142
130,7.274000000000001,360.88200000000006,1.0,0.6666666666666666,-8.56,-7.7993535600859705
131,7.274000000000001,360.88200000000006,1.0,0.6666666666666666,-8.71,-7.7993535600859705
132,5.967200000000002,291.992,1.0,0.75,-6.57,-6.410692890894937
133,6.620600000000001,326.437,1.0,0.7058823529411765,-7.32,-7.103986059152152
134,3.0786000000000016,114.232,1.0,0.0,-4.74,-2.7776551656124955
135,3.468700000000003,128.259,2.0,0.0,-5.05,-3.1563738426644767
136,5.967200000000002,291.992,1.0,0.75,-7.39,-6.410692890894937
137,1.4149,102.17699999999998,2.0,0.0,-1.04,-1.4608741408572705
138,2.442500000000001,86.17799999999998,0.0,0.0,-3.55,-2.123901472136566
139,2.832600000000001,100.20499999999998,1.0,0.0,-4.36,-2.5026201491885467
140,1.805,116.20399999999998,3.0,0.0,-1.52,-1.839592817909251
141,1.0248,88.14999999999999,0.0,0.0,-0.4,-1.08535597383143
142,4.660400000000002,223.102,1.0,0.8571428571428571,-5.27,-5.032107551847393
143,7.274,360.88200000000006,1.0,0.6666666666666666,-7.82,-7.799353560085969
144,7.9274,395.3270000000001,1.0,0.631578947368421,-7.66,-8.496467867484292
145,7.274000000000001,360.88200000000006,1.0,0.6666666666666666,-7.39,-7.7993535600859705
146,6.620600000000001,326.437,1.0,0.7058823529411765,-7.8,-7.103986059152152
147,6.620600000000001,326.437,1.0,0.7058823529411765,-7.92,-7.103986059152152
148,5.967200000000002,291.992,1.0,0.75,-7.25,-6.410692890894937
149,4.0058,231.893,0.0,0.5454545454545454,-3.15,-4.475886554690566
150,4.005799999999999,231.893,0.0,0.5454545454545454,-3.1,-4.475886554690565
151,5.313800000000001,257.547,1.0,0.8,-6.29,-5.719888921849641
152,5.313800000000001,257.547,1.0,0.8,-6.26,-5.719888921849641
153,3.3524000000000003,197.448,0.0,0.6,-2.67,-3.787006057763573
154,2.9345000000000017,114.232,2.0,0.0,-4.8,-2.6675704849321833
155,4.0058,231.893,0.0,0.5454545454545454,-3.37,-4.475886554690566
156,5.313800000000001,257.547,1.0,0.8,-6.01,-5.719888921849641
157,3.3523999999999994,197.448,0.0,0.6,-2.67,-3.787006057763573
158,3.3523999999999994,197.448,0.0,0.6,-2.64,-3.787006057763573
159,2.901600000000001,192.00100000000003,1.0,0.5454545454545454,-3.48,-3.390403037591263
160,2.699,163.003,0.0,0.6666666666666666,-1.3,-3.103254819818719
161,2.1386000000000003,82.146,1.0,0.0,-2.4,-1.86867911390714
162,2.2984,86.178,1.0,0.0,-3.65,-2.0138167914562533
163,3.456640000000002,156.22799999999998,0.0,0.8333333333333334,-4.72,-3.691041018947638
164,2.688500000000001,100.20499999999998,2.0,0.0,-4.28,-2.392535468508234
165,1.69844,107.156,0.0,0.75,0.38,-2.0278176690227747
166,5.313800000000001,257.547,1.0,0.8,-6.27,-5.719888921849641
167,5.313800000000001,257.547,1.0,0.8,-6.25,-5.719888921849641
168,3.3524000000000003,197.448,0.0,0.6,-2.21,-3.787006057763573
169,5.313800000000001,257.547,1.0,0.8,-6.14,-5.719888921849641
170,3.3523999999999994,197.448,0.0,0.6,-2.34,-3.787006057763573
171,2.3174600000000005,136.194,0.0,0.6,-2.05,-2.6151221203196395
172,1.7196200000000006,227.132,3.0,0.375,-3.22,-2.6669934876369097
173,2.699,163.003,0.0,0.6666666666666666,-1.55,-3.103254819818719
174,1.8034,116.20399999999998,2.0,0.0,-0.92,-1.8416065501904453
175,1.6593,116.20399999999998,2.0,0.0,-1.22,-1.7347223795362732
176,1.8675,114.18799999999996,2.0,0.0,-1.3,-1.8758477084610017
177,2.688500000000001,100.20499999999998,2.0,0.0,-4.26,-2.392535468508234
178,2.00904,122.167,0.0,0.6666666666666666,-1.19,-2.3219988615227636
179,1.69844,107.156,0.0,0.75,0.38,-2.0278176690227747
180,1.8114200000000005,182.135,2.0,0.4615384615384615,-2.82,-2.4779580395932204
181,4.660400000000002,223.102,1.0,0.8571428571428571,-5.28,-5.032107551847393
182,4.660400000000002,223.102,1.0,0.8571428571428571,-5.25,-5.032107551847393
183,2.699,163.003,0.0,0.6666666666666666,-1.79,-3.103254819818719
184,3.456640000000002,156.228,0.0,0.8333333333333334,-4.89,-3.691041018947638
185,2.00904,122.167,0.0,0.6666666666666666,-1.29,-2.3219988615227636
186,1.69844,107.156,0.0,0.75,0.45,-2.0278176690227747
187,1.8114200000000005,182.135,2.0,0.4615384615384615,-3.0,-2.4779580395932204
188,4.660400000000003,223.102,1.0,0.8571428571428571,-5.21,-5.032107551847394
189,2.8516400000000006,157.216,0.0,0.8333333333333334,-1.94,-3.248810761339793
190,3.575200000000001,193.249,0.0,0.9333333333333332,-5.17,-4.065609152657162
191,3.6023000000000014,207.07,0.0,0.9090909090909092,-4.4,-4.166660171591763
192,3.6023000000000014,207.07,0.0,0.9090909090909092,-4.4,-4.166660171591763
193,1.7897,122.993,0.0,0.0,-1.59,-1.8826482191104321
194,2.7575200000000013,171.03699999999998,0.0,0.75,-2.23,-3.234943393835016
195,0.9854,72.107,1.0,0.0,0.52,-0.9470589985611246
196,0.7614000000000001,70.09100000000001,1.0,0.0,0.32,-0.7676059891323961
197,0.7953999999999999,118.176,5.0,0.0,-0.42,-1.097348798122049
198,2.4138,106.596,1.0,0.0,-2.51,-2.2341569989263346
199,2.3486,142.58499999999998,1.0,0.6666666666666666,-2.46,-2.705406121033598
200,4.007000000000002,188.657,1.0,0.9230769230769232,-4.54,-4.348046303744278
201,2.0237,92.569,1.0,0.0,-1.96,-1.8522378118482137
202,3.4932000000000016,162.61899999999997,0.0,0.9090909090909092,-4.14,-3.792392683535344
203,2.0456000000000003,128.558,0.0,0.75,-1.06,-2.426556312974307
204,1.6336,78.542,0.0,0.0,-1.41,-1.4735191347962333
205,2.6484200000000007,126.586,0.0,0.75,-3.52,-2.860675905778597
206,-1.2591199999999998,84.082,0.0,0.0,-0.31,0.6355557421271216
207,3.3260000000000023,156.269,7.0,0.0,-3.3,-3.21937106087301
208,1.644,107.15599999999998,1.0,0.75,0.51,-1.9842370462248566
209,1.4149,102.177,3.0,0.0,-1.17,-1.4576736308311307
210,2.1951000000000005,130.231,5.0,0.0,-2.11,-2.2151109849350923
211,2.3218000000000005,126.19899999999998,4.0,0.0,-2.46,-2.2856812073664585
212,1.6215,100.161,3.0,0.0,-1.52,-1.5976121820109137
213,2.401700000000001,128.21499999999995,5.0,0.0,-2.13,-2.3550495361148753
214,3.402200000000001,156.22799999999998,1.0,0.8333333333333334,-4.29,-3.64746039614972
215,2.5574200000000005,120.19499999999996,1.0,0.6666666666666666,-3.21,-2.712537831529135
216,1.9475,116.20399999999998,4.0,0.0,-1.55,-1.9420897007923377
217,2.1557000000000004,114.188,4.0,0.0,-1.45,-2.083215029717067
218,1.5574,102.17699999999998,3.0,0.0,-0.89,-1.5633710237403569
219,1.7656,100.161,3.0,0.0,-0.8,-1.7044963526650858
220,0.1253999999999998,148.125,0.0,0.9090909090909092,-1.947,-1.1987240811516995
221,0.7871999999999999,95.101,0.0,0.8571428571428571,1.02,-1.3177028786655391
222,1.8298,169.993,0.0,0.0,-2.09,-2.222557452120684
223,3.118420000000002,134.22199999999995,1.0,0.6,-3.76,-3.1930087920875034
224,0.4283999999999998,162.152,1.0,0.8333333333333334,-1.11,-1.480779676074827
225,1.9725,70.13499999999999,0.0,0.0,-2.56,-1.669413446283888
226,1.7485,68.11900000000001,1.0,0.0,-2.03,-1.4867599268290193
227,1.9725,70.13499999999999,1.0,0.0,-2.73,-1.666212936257748
228,2.3626000000000005,84.16199999999999,2.0,0.0,-3.03,-2.044931613309729
229,2.337600000000001,130.231,4.0,0.0,-1.72,-2.3240088878704594
230,1.9475,116.20399999999998,3.0,0.0,-1.08,-1.9452902108184777
231,1.5574,102.17699999999998,2.0,0.0,-0.49,-1.566571533766497
232,1.4133,102.177,2.0,0.0,-0.7,-1.459687363112325
233,4.301420000000002,192.261,0.0,0.9333333333333332,-6.96,-4.597752659166455
234,1.1673,88.14999999999998,1.0,0.0,0.15,-1.1878528567145166
235,2.0524,72.151,1.0,0.0,-3.18,-1.7387817750323047
236,1.0248,88.14999999999999,2.0,0.0,-0.47,-1.0789549537791499
237,3.2227000000000023,114.232,4.0,0.0,-5.08,-2.874937806188248
238,3.148220000000001,142.201,0.0,0.9090909090909092,-3.77,-3.401764704387366
239,2.442500000000001,86.178,2.0,0.0,-3.74,-2.1175004520842857
240,1.4149,102.177,3.0,0.0,-1.11,-1.4576736308311307
241,4.301420000000003,192.261,0.0,0.9333333333333332,-5.84,-4.597752659166456
242,1.70062,108.14,0.0,0.75,-0.62,-2.035928333826329
243,0.6347,74.12299999999999,1.0,0.0,0.1,-0.7002362767271695
244,1.6623,58.124,0.0,0.0,-2.55,-1.3600630979803243
245,1.5824,56.108,0.0,0.0,-2.33,-1.2874942592057674
246,0.7282199999999999,146.153,0.0,0.9090909090909092,-0.12,-1.6328436739559888
247,1.1853,86.134,0.0,0.0,0.11,-1.1911004912349652
248,2.5454,144.17299999999997,0.0,0.9090909090909092,-2.28,-2.9676451115830758
249,0.6715,89.094,1.0,0.0,-0.62,-0.8263298123887015
250,2.727700000000002,144.258,6.0,0.0,-2.74,-2.6995270548963
251,2.935900000000001,142.242,6.0,0.0,-2.58,-2.8406523838210282
252,2.337600000000001,130.231,5.0,0.0,-2.09,-2.3208083778443194
253,2.5458000000000007,128.21499999999995,5.0,0.0,-2.05,-2.4619337067690474
254,1.1673,88.14999999999999,2.0,0.0,-0.29,-1.1846523466883765
255,1.3755,86.13399999999999,2.0,0.0,-0.19,-1.325777675613105
256,1.0577,138.16599999999997,3.0,0.6,-0.7,-1.6841248900840362
257,0.3871,60.096,0.0,0.0,0.43,-0.4272149925844154
258,-0.1036,85.10600000000001,0.0,0.0,1.07,-0.2282927961355622
259,3.5079000000000025,172.312,8.0,0.0,-2.94,-3.4569644090002627
260,1.4149,102.177,1.0,0.0,-0.5,-1.4640746508834108
261,1.4133,102.177,0.0,0.0,-0.62,-1.4660883831646052
262,1.6215,100.161,0.0,0.0,-0.72,-1.607213712089334
263,2.832600000000001,100.20499999999998,2.0,0.0,-4.23,-2.4994196391624066
264,2.901600000000001,192.001,1.0,0.5454545454545454,-3.2,-3.390403037591263
265,2.6990000000000007,163.003,0.0,0.6666666666666666,-1.25,-3.1032548198187198
266,2.00904,122.167,0.0,0.6666666666666666,-1.38,-2.3219988615227636
267,1.69844,107.156,0.0,0.75,0.36,-2.0278176690227747
268,4.660400000000002,223.102,1.0,0.8571428571428571,-6.39,-5.032107551847393
269,2.699,163.003,0.0,0.6666666666666666,-1.34,-3.103254819818719
270,2.00904,122.16699999999996,0.0,0.6666666666666666,-1.4,-2.3219988615227636
271,1.69844,107.15599999999998,0.0,0.75,0.38,-2.0278176690227743
272,2.782800000000001,352.39000000000004,6.0,0.4615384615384615,-5.071000000000001,-4.309222048150131
273,2.3486,142.58499999999998,1.0,0.6666666666666666,-2.78,-2.705406121033598
274,4.007000000000002,188.657,1.0,0.9230769230769232,-4.88,-4.348046303744278
275,2.0456,128.558,0.0,0.75,-0.7,-2.426556312974307
276,1.13888,89.525,1.0,0.0,-0.29,-1.1758467110985171
277,2.0025999999999997,324.33600000000007,4.0,0.5,-4.47,-3.5680602273548816
278,1.9475,116.204,3.0,0.0,-0.85,-1.9452902108184777
279,1.9475,116.20399999999998,4.0,0.0,-1.47,-1.9420897007923377
280,3.9531000000000023,394.471,9.0,0.4137931034482758,-6.301,-5.425173968991812
281,1.5574,102.177,3.0,0.0,-0.8,-1.563371023740357
282,1.7656,100.161,3.0,0.0,-0.83,-1.7044963526650858
283,3.5630000000000024,380.444,8.0,0.4285714285714285,-5.886,-5.052708945132341
284,1.8098,82.14599999999999,0.0,0.0,-1.99,-1.6279967973469383
285,1.8284,70.135,1.0,0.0,-2.73,-1.5593287656035757
286,1.0232,88.14999999999999,1.0,0.0,-0.18,-1.0809686860603445
287,1.2314,86.13399999999999,1.0,0.0,-0.12,-1.222094014985073
288,1.4149,102.177,3.0,0.0,-0.72,-1.4576736308311307
289,1.4149,102.177,3.0,0.0,-0.71,-1.4576736308311307
290,1.6215,100.161,2.0,0.0,-0.67,-1.6008126920370538
291,2.3376,130.23099999999997,4.0,0.0,-1.6,-2.3240088878704586
292,1.9475,116.20399999999998,3.0,0.0,-0.98,-1.9452902108184777
293,1.5574,102.17699999999998,2.0,0.0,-0.36,-1.566571533766497
294,1.0248,88.14999999999999,2.0,0.0,-0.51,-1.0789549537791499
295,5.553220000000004,268.3589999999999,0.0,0.8571428571428571,-7.92,-5.9962079691951455
296,3.2227000000000023,114.232,4.0,0.0,-5.16,-2.874937806188248
297,2.4763200000000003,131.17799999999997,0.0,0.9,-2.42,-2.8268015450801585
